age,treatment,event,event_type
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
241.93666666666667,Male/40x,1,1
241.93666666666667,Male/40x,1,1
241.93666666666667,Male/40x,1,1
241.93666666666667,Male/40x,1,1
319.91749999999996,Male/40x,1,1
319.91749999999996,Male/40x,1,1
319.91749999999996,Male/40x,1,1
319.91749999999996,Male/40x,1,1
319.91749999999996,Male/40x,1,1
319.91749999999996,Male/40x,1,1
319.91749999999996,Male/40x,1,1
392.16055555555556,Male/40x,1,1
392.16055555555556,Male/40x,1,1
392.16055555555556,Male/40x,1,1
392.16055555555556,Male/40x,1,1
456.9288888888889,Male/40x,1,1
456.9288888888889,Male/40x,1,1
456.9288888888889,Male/40x,1,1
456.9288888888889,Male/40x,1,1
504.23555555555555,Male/40x,1,1
504.23555555555555,Male/40x,1,1
577.2211111111111,Male/40x,1,1
577.2211111111111,Male/40x,1,1
577.2211111111111,Male/40x,1,1
577.2211111111111,Male/40x,1,1
665.7102777777777,Male/40x,1,1
665.7102777777777,Male/40x,1,1
745.8133333333333,Male/40x,1,1
745.8133333333333,Male/40x,1,1
745.8133333333333,Male/40x,1,1
791.7755555555556,Male/40x,1,1
840.3269444444444,Male/40x,1,1
914.3488888888888,Male/40x,1,1
914.3488888888888,Male/40x,1,1
914.3488888888888,Male/40x,1,1
958.0541666666667,Male/40x,1,1
958.0541666666667,Male/40x,1,1
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
958.0541666666667,Male/40x,1,0
